ticker,price_change
WESTLIFE,0.03547
NORBTEAEXP,0.03559
HOMEFIRST,0.03571
360ONE,0.03574
JCHAC,0.03606
STARHEALTH,0.0362
STLTECH,0.03627
RSWM,0.03628
SAGCEM,0.0363
JINDALPOLY,0.03661
ABCAPITAL,0.03661
ALKALI,0.03672
DELTAMAGNT,0.03701
RAMCOSYS,0.03704
TCS,0.03716
CYBERTECH,0.03752
GRASIM,0.03756
BBTCL,0.03771
CHAMBLFERT,0.03776
ANURAS,0.03797
INFY,0.03825
SHIVAMILLS,0.03827
METROPOLIS,0.03833
SHOPERSTOP,0.03834
TATASTEEL,0.03845
PALREDTEC,0.03881
CONCORDBIO,0.03882
KNRCON,0.03883
MTARTECH,0.03886
KIRIINDUS,0.03895
IDFCFIRSTB,0.03901
VENKEYS,0.03904
TOKYOPLAST,0.03929
EMMBI,0.03932
AARTIIND,0.0394
SOMANYCERA,0.03947
VSSL,0.03957
GREENPLY,0.03962
HATSUN,0.03977
PANAMAPET,0.03984
KIRLPNU,0.03991
ACLGATI,0.04002
MAITHANALL,0.04083
INDIACEM,0.04083
CENTENKA,0.04085
GICHSGFIN,0.0409
SAREGAMA,0.04141
IDFC,0.04195
BIOCON,0.042
PONNIERODE,0.04212
KRSNAA,0.04216
HAVELLS,0.04225
UNIDT,0.04275
HEADSUP,0.043
EICHERMOT,0.043
CANTABIL,0.04306
APOLLOPIPE,0.04311
LUMAXIND,0.04332
RALLIS,0.0437
ATFL,0.04373
NILASPACES,0.0438
HCL-INSYS,0.04392
BHAGYANGR,0.04405
RUBYMILLS,0.04424
GARFIBRES,0.0444
SUNFLAG,0.04446
ICICIBANK,0.04453
AVROIND,0.04478
AARVI,0.0448
UTIAMC,0.0449
AVADHSUGAR,0.04509
RADICO,0.04548
SREEL,0.0455
ONMOBILE,0.04554
SSWL,0.04558
SAPPHIRE,0.04584
NAHARINDUS,0.04597
VGUARD,0.04632
AMIORG,0.04645
VSTIND,0.04647
FIVESTAR,0.0465
BHARATGEAR,0.04663
GUJALKALI,0.04677
GREAVESCOT,0.04692
RML,0.04695
GANGESSECU,0.04709
CMSINFO,0.04723
EVEREADY,0.04735
TITAN,0.04741
MASFIN,0.04742
DJML,0.04745
INDOBORAX,0.04763
KTKBANK,0.04766
LGBFORGE,0.04773
ICRA,0.04784
BALKRISHNA,0.04789
CESC,0.0481
NBIFIN,0.04822
APTECHT,0.04864
MBECL,0.04864
NDTV,0.04899
NAUKRI,0.04901
ALICON,0.04933
REDINGTON,0.04942
TIINDIA,0.04945
JBCHEPHARM,0.05062
IGARASHI,0.05065
INDIASHLTR,0.05082
SUPREMEIND,0.05095
CREATIVEYE,0.05105
RACE,0.05108
ERIS,0.05109
UTTAMSUGAR,0.05114
RBA,0.05119
SANGINITA,0.05147
PCJEWELLER,0.05163
JTLIND,0.0519
CALSOFT,0.05197
GODREJCP,0.0522
CYIENTDLM,0.05243
PRAKASHSTL,0.05254
PFIZER,0.05269
AIAENG,0.05294
WEL,0.05298
NSIL,0.05316
KBCGLOBAL,0.05325
WEIZMANIND,0.0533
RUCHINFRA,0.05336
FUSION,0.05406
HITECHCORP,0.0544
BANKA,0.05443
TTML,0.05452
MANAPPURAM,0.05455
STARTECK,0.05508
NELCO,0.05522
DONEAR,0.05537
SILVERTUC,0.05562
CIEINDIA,0.05567
PILANIINVS,0.05571
BAFNAPH,0.05572
ZODIACLOTH,0.05643
PNBHOUSING,0.05715
FAZE3Q,0.0573
BDL,0.05744
JETFREIGHT,0.05766
GANECOS,0.05776
CHEMPLASTS,0.0581
SHYAMCENT,0.05825
SURANASOL,0.05834
DRREDDY,0.05836
EROSMEDIA,0.0585
VIRINCHI,0.05853
GRSE,0.05854
TRITURBINE,0.05857
UCAL,0.05863
ASTRAZEN,0.05863
AKZOINDIA,0.05881
TRIGYN,0.05898
QUESS,0.05903
ADFFOODS,0.05929
DCW,0.05957
RBLBANK,0.05958
PARAS,0.05978
SYNGENE,0.05997
TIIL,0.06009
KARURVYSYA,0.06012
VIJAYA,0.06026
SCHAND,0.06039
TATACONSUM,0.06049
AHLADA,0.06089
PIIND,0.06093
MCL,0.06098
XPROINDIA,0.06107
PRIVISCL,0.06111
JHS,0.06117
HGINFRA,0.06121
KAJARIACER,0.06134
COLPAL,0.0615
MOL,0.06171
GODHA,0.06212
BAYERCROP,0.06239
VLEGOV,0.06289
EQUITASBNK,0.06297
PTL,0.06329
AAKASH,0.06351
SBILIFE,0.06353
CERA,0.0636
GRINFRA,0.0638
EIDPARRY,0.06388
METROBRAND,0.06401
SAH,0.06408
SDBL,0.06409
MANKIND,0.06436
PRSMJOHNSN,0.0645
NATHBIOGEN,0.06451
SONACOMS,0.06457
PATANJALI,0.06469
INFOMEDIA,0.0648
NIPPOBATRY,0.06485
NAGREEKEXP,0.06491
ESSARSHPNG,0.06505
CYIENT,0.06524
MPHASIS,0.06528
PGEL,0.06535
APTUS,0.06556
DOLLAR,0.06567
ARCHIDPLY,0.06568
SUNTV,0.06573
CGPOWER,0.06575
ARENTERP,0.06576
INDTERRAIN,0.06591
