"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
219,"VOLTAMP","Voltamp Transformers Limited","INE540H01012","LTASM - I (13)"
220,"WALCHANNAG","Walchandnagar Industries Limited","INE711A01022","LTASM - IV (16)"
221,"WEBELSOLAR","Websol Energy System Limited","INE855C01015","LTASM - I (13)"
222,"WEL","Wonder Electricals Limited","INE02WG01016","LTASM - I (13)"
223,"WELCORP","Welspun Corp Limited","INE191B01025","LTASM - I (13)"
224,"WELINV","Welspun Investments and Commercials Limited","INE389K01018","LTASM - I (13)"
225,"WOCKPHARMA","Wockhardt Limited","INE049B01025","LTASM - IV (16)"
226,"XCHANGING","Xchanging Solutions Limited","INE692G01013","LTASM - I (13)"
227,"ZENITHEXPO","Zenith Exports Limited","INE058B01018","LTASM - I (13)"
228,"ZENITHSTL","Zenith Steel Pipes & Industries Limited","INE318D01020","LTASM - I (13)"
229,"ZENTEC","Zen Technologies Limited","INE251B01027","LTASM - I (13)"
230,"ZOMATO","Zomato Limited","INE758T01015","LTASM - I (13)"
231,"ZUARIIND","ZUARI INDUSTRIES LIMITED","INE217A01012","LTASM - I (13)"
"Short Term",,,,
1,"ANLON","Anlon Technology Solutions Limited","INE0LR101013","STASM - I (11)"
2,"ATFL","Agro Tech Foods Limited","INE209A01019","STASM - I (11)"
3,"ATMASTCO","Atmastco Limited","INE05DH01017","STASM - I (11)"
4,"BAWEJA","Baweja Studios Limited","INE0JFJ01011","STASM - I (11)"
5,"BCLIND","Bcl Industries Limited","INE412G01024","STASM - I (11)"
6,"CELLECOR","Cellecor Gadgets Limited","INE0OMO01017","STASM - I (11)"
7,"CGCL","Capri Global Capital Limited","INE180C01042","STASM - I (11)"
8,"DAVANGERE","Davangere Sugar Company Limited","INE179G01011","STASM - I (11)"
9,"DCAL","Dishman Carbogen Amcis Limited","INE385W01011","STASM - I (11)"
10,"DEEM","Deem Roll Tech Limited","INE586O01011","STASM - I (11)"
11,"DHTL","Docmode Health Technologies Limited","INE0OGG01015","STASM - I (11)"
12,"DSSL","Dynacons Systems & Solutions Limited","INE417B01040","STASM - I (11)"
13,"DVL","Dhunseri Ventures Limited","INE477B01010","STASM - II (12)"
14,"ESCONET","Esconet Technologies Limited","INE0RQZ01017","STASM - I (11)"
15,"GOYALSALT","Goyal Salt Limited","INE0QFE01017","STASM - I (11)"
16,"GRMOVER","GRM Overseas Limited","INE192H01020","STASM - I (11)"
17,"HILTON","Hilton Metal Forging Limited","INE788H01017","STASM - I (11)"
18,"IIFL","IIFL Finance Limited","INE530B01024","STASM - I (11)"
19,"INDBANK","Indbank Merchant Banking Services Limited","INE841B01017","STASM - I (11)"
20,"IPL","India Pesticides Limited","INE0D6701023","STASM - I (11)"
21,"ITALIANE","Italian Edibles Limited","INE0R7R01018","STASM - I (11)"
22,"JLHL","Jupiter Life Line Hospitals Limited","INE682M01012","STASM - I (11)"
23,"JTLIND","JTL INDUSTRIES LIMITED","INE391J01024","STASM - I (11)"
24,"KARNIKA","Karnika Industries Limited","INE0MGA01012","STASM - II (12)"
25,"KCEIL","Kay Cee Energy & Infra Limited","INE0RCG01017","STASM - II (12)"
26,"KKVAPOW","KKV Agro Powers Limited","INE239T01016","STASM - I (11)"
27,"MEGASOFT","Megasoft Limited","INE933B01012","STASM - I (11)"
28,"MEGATHERM","Megatherm Induction Limited","INE531R01010","STASM - I (11)"
29,"NECCLTD","North Eastern Carrying Corporation Limited","INE553C01016","STASM - I (11)"
30,"NEWJAISA","Newjaisa Technologies Limited","INE0PW501021","STASM - I (11)"
31,"POLYSIL","Polysil Irrigation Systems Limited","INE517M01028","STASM - I (11)"
32,"PRECISION","Precision Metaliks Limited","INE0HKW01018","STASM - II (12)"
33,"PRESSTONIC","Presstonic Engineering Limited","INE0R1601012","STASM - I (11)"
34,"PRITIKA","Pritika Engineering Components Limited","INE0MJQ01012","STASM - I (11)"
35,"PVP","PVP Ventures Limited","INE362A01016","STASM - I (11)"
36,"RICOAUTO","Rico Auto Industries Limited","INE209B01025","STASM - I (11)"
37,"RMDRIP","R M Drip and Sprinklers Systems Limited","INE219Y01018","STASM - I (11)"
38,"SJLOGISTIC","S J Logistics (India) Limited","INE0F3301020","STASM - I (11)"
39,"SPCENET","Spacenet Enterprises India Limited","INE970N01027","STASM - I (11)"
40,"SUPREMEPWR","Supreme Power Equipment Limited","INE0QHG01026","STASM - I (11)"
41,"SWARAJ","Swaraj Suiting Limited","INE0GMR01016","STASM - I (11)"
42,"TATACHEM","Tata Chemicals Limited","INE092A01019","STASM - I (11)"
43,"VMARCIND","V Marc India Limited","INE0GXK01018","STASM - I (11)"
44,"VSTL","Vibhor Steel Tubes Limited","INE0QTF01015","STASM - I (11)"
45,"YUDIZ","Yudiz Solutions Limited","INE09FA01019","STASM - I (11)"
46,"ZAGGLE","Zaggle Prepaid Ocean Services Limited","INE07K301024","STASM - I (11)"
47,"ZENITHDRUG","Zenith Drugs Limited","INE0QWN01013","STASM - I (11)"
