ticker,price_change
IDBI,0.05222
RAMCOCEM,0.05293
GATEWAY,0.05295
TATASTEEL,0.05312
GODREJPROP,0.05374
RBLBANK,0.05429
BHEL,0.05485
NIACL,0.05496
KIRLFER,0.0551
SHRIRAMFIN,0.05548
HDFCAMC,0.05564
GTLINFRA,0.05637
KEI,0.05657
GRSE,0.057
WESTLIFE,0.05773
NESTLEIND,0.05805
DRREDDY,0.05852
ONGC,0.05857
PGHH,0.05882
POWERMECH,0.05915
GODREJIND,0.05924
TINPLATE,0.05944
AUTOAXLES,0.05976
TATAMETALI,0.05991
BSOFT,0.06
MAITHANALL,0.06003
SWANENERGY,0.0602
RATNAMANI,0.06021
METROBRAND,0.06024
BANKBARODA,0.06096
SUVENPHAR,0.06146
COCHINSHIP,0.06172
UNICHEMLAB,0.06174
CDSL,0.06261
MTARTECH,0.06279
SHYAMMETL,0.06317
TANLA,0.06331
LINDEINDIA,0.06412
TVSMOTOR,0.06417
HSCL,0.06419
PNCINFRA,0.06432
HEROMOTOCO,0.06436
JINDALSTEL,0.06562
KTKBANK,0.06567
WSTCSTPAPR,0.06575
HINDOILEXP,0.06578
APLLTD,0.06654
APLAPOLLO,0.06712
COLPAL,0.06736
NHPC,0.06752
IDFC,0.06791
DREAMFOLKS,0.06802
AHLUCONT,0.06824
KRSNAA,0.06833
ADANIPOWER,0.06838
AVALON,0.0685
HGINFRA,0.06852
LUPIN,0.06865
SOTL,0.06873
IPCALAB,0.06952
RAINBOW,0.0704
NEULANDLAB,0.07125
APOLLOPIPE,0.07138
DEN,0.07147
DWARKESH,0.0718
INOXWIND,0.07185
TORNTPOWER,0.07191
CSBBANK,0.07196
360ONE,0.07197
TATASTLLP,0.07205
VARROC,0.07225
NTPC,0.07234
MIDHANI,0.07358
ZFCVINDIA,0.07359
ECLERX,0.07386
AJANTPHARM,0.07392
DIVGIITTS,0.07405
HOMEFIRST,0.0744
ZOMATO,0.07497
CYIENT,0.07546
KCP,0.0755
KIRLOSBROS,0.0755
TECHNOE,0.07621
SUNTECK,0.07678
CARERATING,0.07684
GILLETTE,0.07735
KIRLOSENG,0.07751
MOTILALOFS,0.07779
POWERGRID,0.07884
PAYTM,0.07918
PAISALO,0.07926
MANINFRA,0.07973
IDEA,0.08101
TIMETECHNO,0.08113
GABRIEL,0.08139
DBREALTY,0.0814
RTNPOWER,0.08146
THOMASCOOK,0.0821
GICRE,0.08282
CHOICEIN,0.08309
FORCEMOT,0.08364
JKIL,0.0852
TRIVENI,0.08553
HEMIPROP,0.08574
GLS,0.08631
PNBHOUSING,0.08678
GESHIP,0.08703
SYRMA,0.08706
LGBBROSLTD,0.08725
RAILTEL,0.08747
CENTURYTEX,0.08765
WELSPUNIND,0.08791
DODLA,0.08802
BALKRISIND,0.08821
OIL,0.08867
IMFA,0.08915
BLUESTARCO,0.08984
BANKINDIA,0.0903
L&TFH,0.09055
CANBK,0.09129
ASTRAMICRO,0.09164
VESUVIUS,0.09232
SAFARI,0.09318
GSFC,0.0933
DALMIASUG,0.09374
HEG,0.09424
NCC,0.0943
SONATSOFTW,0.09434
STAR,0.09442
WELENT,0.09468
GLENMARK,0.09549
TDPOWERSYS,0.09589
LT,0.09608
ADANIGREEN,0.09655
DATAMATICS,0.09713
ZENTEC,0.09733
POLYCAB,0.09761
CHOLAHLDNG,0.09787
TATAMOTORS,0.09817
KSCL,0.09857
CARTRADE,0.09872
INFIBEAM,0.09884
RATEGAIN,0.09915
PRICOLLTD,0.10002
SPLPETRO,0.10098
NRBBEARING,0.10113
SEQUENT,0.1025
AUROPHARMA,0.10262
IIFL,0.10267
ETHOSLTD,0.10315
TIPSINDLTD,0.10316
UJJIVANSFB,0.10442
UJJIVAN,0.10458
BECTORFOOD,0.10551
JYOTHYLAB,0.10581
PNB,0.10697
OLECTRA,0.10726
UNIONBANK,0.10942
SUNDARMFIN,0.11026
NAM-INDIA,0.11084
MAPMYINDIA,0.11242
KARURVYSYA,0.11271
MARKSANS,0.1129
MRPL,0.11319
MAHABANK,0.11535
BAJAJ-AUTO,0.11762
NMDC,0.11842
KKCL,0.11851
ACE,0.11866
MMTC,0.11877
TATAINVEST,0.12109
NBCC,0.12203
MSTCLTD,0.12618
JAICORPLTD,0.12734
MINDACORP,0.12739
RKFORGE,0.12989
JKTYRE,0.13176
DAAWAT,0.13211
ELECTCAST,0.13226
USHAMART,0.13436
COALINDIA,0.13513
JTLIND,0.13805
ANGELONE,0.14047
TATAMTRDVR,0.14085
RAMKY,0.14094
BAJAJHIND,0.14255
TIIL,0.14362
LODHA,0.14581
PRESTIGE,0.14899
KAYNES,0.14958
SJVN,0.15052
NAVA,0.15103
MCX,0.15105
CIGNITITEC,0.15345
J&KBANK,0.15432
RESPONIND,0.15496
PRUDENT,0.15504
SSWL,0.15573
WELCORP,0.15638
EMIL,0.15828
APARINDS,0.15906
INDIANB,0.15935
HBLPOWER,0.16036
WONDERLA,0.16403
GPIL,0.16621
NFL,0.16715
PURVA,0.16781
AGI,0.16796
JWL,0.1683
JSL,0.1694
PFC,0.17113
SUNFLAG,0.17193
ANANTRAJ,0.17472
BOMDYEING,0.17986
STYRENIX,0.18007
JBMA,0.18205
RECLTD,0.18407
SURYAROSNI,0.18543
IOB,0.18731
KALYANKJIL,0.18837
JINDALSAW,0.195
GAEL,0.20097
MAHSEAMLES,0.20159
PSB,0.20467
CENTRALBK,0.20613
GMDCLTD,0.21257
GRAVITA,0.2153
UCOBANK,0.21546
ASHOKA,0.2188
IFCI,0.22069
BBTC,0.22232
IRCON,0.22444
CHENNPETRO,0.22531
SAKSOFT,0.23037
IRFC,0.23378
ANANDRATHI,0.24687
SUZLON,0.24849
RVNL,0.24906
GET&D,0.26026
MAZDOCK,0.26441
NEWGEN,0.27948
TITAGARH,0.30712
DBCORP,0.32557
PDSL,0.35825
BSE,0.38258
LSIL,0.45078
ITI,0.4945
FACT,0.58245
